City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,Zhigansk,66.77,123.37,-10.12,94,100,13.76,RU,2020-02-23 22:36:42
138,Yatou,37.15,122.38,43.86,83,27,10.0,CN,2020-02-23 22:39:51
139,Guasdualito,7.24,-70.73,93.2,41,40,5.82,VE,2020-02-23 22:39:52
140,Barrow,71.29,-156.79,-23.8,67,1,13.87,US,2020-02-23 22:35:48
141,Arcachon,44.59,-1.05,44.6,100,75,0.92,FR,2020-02-23 22:39:52
142,Constitucion,-35.33,-72.42,57.15,89,82,8.7,CL,2020-02-23 22:36:16
143,Paita,-5.09,-81.11,62.6,100,40,9.17,PE,2020-02-23 22:39:53
144,Lagoa,39.05,-27.98,60.19,80,48,11.79,PT,2020-02-23 22:36:07
145,Borovoy,55.43,86.08,19.4,92,40,6.71,RU,2020-02-23 22:39:06
146,Kavieng,-2.57,150.8,84.42,68,13,7.05,PG,2020-02-23 22:38:05
147,Avarua,-21.21,-159.78,80.6,88,100,4.7,CK,2020-02-23 22:35:53
148,Nishihara,26.18,127.76,60.8,77,75,4.7,JP,2020-02-23 22:36:13
149,Bambous Virieux,-20.34,57.76,75.2,88,20,2.24,MU,2020-02-23 22:36:09
150,Avera,33.19,-82.53,62.6,26,75,3.02,US,2020-02-23 22:38:01
151,Leningradskiy,69.38,178.42,-12.75,73,100,5.48,RU,2020-02-23 22:37:42
152,Doha,25.29,51.53,71.01,94,75,4.7,QA,2020-02-23 22:39:44
153,Codrington,-38.27,141.97,62.49,89,90,14.52,AU,2020-02-23 22:36:22
154,Lalibela,12.03,39.03,60.55,58,1,1.86,ET,2020-02-23 22:39:55
155,Naze,28.37,129.48,50.0,87,20,2.24,JP,2020-02-23 22:35:55
156,Beloha,-25.17,45.05,75.29,90,100,4.85,MG,2020-02-23 22:39:56
157,Tiksi,71.69,128.87,-6.27,85,100,7.61,RU,2020-02-23 22:31:33
158,La Ronge,55.1,-105.28,33.8,50,75,13.87,CA,2020-02-23 22:39:56
159,Luderitz,-26.65,15.16,69.26,62,0,16.4,NA,2020-02-23 22:36:34
160,Sola,-13.88,167.55,87.8,74,75,5.82,VU,2020-02-23 22:35:40
161,Camacha,33.08,-16.33,66.2,82,20,14.99,PT,2020-02-23 22:36:33
162,Khatanga,71.97,102.5,16.79,92,96,16.58,RU,2020-02-23 22:35:42
163,Fez,34.04,-5.0,55.4,32,0,5.82,MA,2020-02-23 22:39:27
164,Sturgis,41.8,-85.42,53.6,53,1,13.87,US,2020-02-23 22:37:16
165,Mayfield,36.74,-88.64,48.2,70,90,8.05,US,2020-02-23 22:35:15
166,Cockburn Town,21.46,-71.14,75.2,64,75,16.11,TC,2020-02-23 22:37:15
167,Staryy Nadym,65.61,72.68,28.45,85,100,22.12,RU,2020-02-23 22:39:59
168,Aksu,41.12,80.26,35.24,47,98,2.51,CN,2020-02-23 22:37:13
169,Glyadyanskoye,54.91,65.09,7.47,97,83,8.7,RU,2020-02-23 22:39:59
170,Kiruna,67.86,20.23,32.0,80,75,19.46,SE,2020-02-23 22:40:00
171,Sao Filipe,14.9,-24.5,67.91,82,13,9.89,CV,2020-02-23 22:35:52
172,Manyoni,-5.75,34.84,68.27,96,99,0.58,TZ,2020-02-23 22:40:00
173,Ilebo,-4.32,20.58,73.0,90,99,1.83,CD,2020-02-23 22:40:00
174,Comodoro Rivadavia,-45.87,-67.5,62.6,72,27,11.41,AR,2020-02-23 22:37:20
175,Puerto Narino,-3.77,-70.38,87.8,74,75,5.82,CO,2020-02-23 22:40:01
176,Tasiilaq,65.61,-37.64,12.2,61,72,14.99,GL,2020-02-23 22:35:55
177,Cidreira,-30.18,-50.21,72.73,72,3,22.95,BR,2020-02-23 22:37:03
178,Yellowknife,62.46,-114.35,-0.99,64,20,9.17,CA,2020-02-23 22:36:11
179,Nizhniy Tsasuchey,50.52,115.13,10.24,77,0,6.13,RU,2020-02-23 22:40:02
180,Takab,36.4,47.11,25.48,85,52,1.81,IR,2020-02-23 22:40:02
181,Airai,-8.93,125.41,75.87,70,0,2.33,TL,2020-02-23 22:36:00
182,Ilhabela,-23.78,-45.36,75.85,71,100,16.64,BR,2020-02-23 22:32:51
183,Bodaybo,57.85,114.19,6.96,95,99,2.55,RU,2020-02-23 22:40:03
184,Kloulklubed,7.04,134.26,80.6,78,75,14.99,PW,2020-02-23 22:38:12
185,Pangnirtung,66.15,-65.71,-29.2,60,75,0.65,CA,2020-02-23 22:36:53
186,Pevek,69.7,170.31,-14.64,99,100,9.55,RU,2020-02-23 22:32:12
187,Saskylakh,71.92,114.08,6.1,92,98,8.97,RU,2020-02-23 22:36:12
188,Esperance,-33.87,121.9,64.4,93,75,11.41,AU,2020-02-23 22:35:46
189,Tuatapere,-46.13,167.68,64.99,68,69,5.01,NZ,2020-02-23 22:36:35
190,Duluth,46.78,-92.11,44.6,52,90,23.04,US,2020-02-23 22:37:53
191,La Romana,18.43,-68.97,77.0,88,40,8.05,DO,2020-02-23 22:40:06
192,Tombouctou,20.0,-3.0,77.34,12,33,17.36,ML,2020-02-23 22:40:06
193,Inhambane,-23.86,35.38,77.76,78,100,27.63,MZ,2020-02-23 22:37:14
194,Chokurdakh,70.63,147.92,-21.73,98,83,3.02,RU,2020-02-23 22:35:54
195,Zhezkazgan,47.8,67.71,5.02,94,9,4.99,KZ,2020-02-23 22:40:07
196,Portland,45.52,-122.68,51.01,75,90,16.11,US,2020-02-23 22:35:42
197,Cayenne,4.93,-52.33,80.6,78,90,10.29,GF,2020-02-23 22:37:03
198,Chicama,-7.84,-79.15,75.2,83,75,6.93,PE,2020-02-23 22:40:08
199,Longyearbyen,78.22,15.64,-4.0,76,20,8.05,SJ,2020-02-23 22:36:52
200,Kirov,58.6,49.66,27.73,92,100,14.83,RU,2020-02-23 22:39:03
201,Kitakata,37.65,139.87,37.4,69,75,9.17,JP,2020-02-23 22:40:09
202,Dicabisagan,17.08,122.42,75.33,87,98,7.27,PH,2020-02-23 22:40:09
203,Wajid,3.81,43.25,70.27,73,25,13.38,SO,2020-02-23 22:40:09
204,Brae,60.4,-1.35,41.0,93,82,12.75,GB,2020-02-23 22:36:26
205,Caranavi,-15.82,-67.55,62.58,88,96,1.77,BO,2020-02-23 22:40:10
206,Shelburne,44.08,-80.2,44.6,48,20,11.41,CA,2020-02-23 22:40:10
207,Alamosa,37.47,-105.87,42.8,48,90,10.29,US,2020-02-23 22:40:11
208,Severo-Kurilsk,50.68,156.12,25.81,96,100,39.35,RU,2020-02-23 22:36:04
209,Asyut,27.18,31.18,49.64,60,59,8.1,EG,2020-02-23 22:40:11
210,Provideniya,64.38,-173.3,-1.77,69,0,0.92,RU,2020-02-23 22:36:50
211,Bireun,5.2,96.7,65.08,94,87,2.01,ID,2020-02-23 22:40:12
212,Inuvik,68.35,-133.72,-4.0,76,90,6.93,CA,2020-02-23 22:39:19
213,Urucui,-7.23,-44.56,75.52,83,41,1.97,BR,2020-02-23 22:40:13
214,Souillac,-20.52,57.52,75.2,88,20,2.24,MU,2020-02-23 22:36:19
215,Awbari,26.59,12.78,49.28,41,0,6.82,LY,2020-02-23 22:40:13
216,Sambava,-14.27,50.17,73.67,98,100,1.61,MG,2020-02-23 22:40:13
217,Saint-Augustin,51.23,-58.65,15.04,76,53,8.81,CA,2020-02-23 22:36:23
218,Riverton,40.52,-111.94,51.8,43,1,4.7,US,2020-02-23 22:40:14
219,Svetlogorsk,52.63,29.73,36.5,96,100,3.89,BY,2020-02-23 22:36:41
220,Port Moresby,-9.44,147.18,83.21,78,93,12.5,PG,2020-02-23 22:40:14
221,Ozernovskiy,51.5,156.52,29.57,83,100,31.9,RU,2020-02-23 22:40:14
